Track,Artist,BPM,Energy,Valence,Danceability,Acousticness,Popularity,Year
Cafe Del Mar,Energy 52,134,0.88,0.42,0.61,0.01,75,1998
Saltwater,Chicane,130,0.75,0.35,0.55,0.15,68,1999
Adagio For Strings,Tiesto,140,0.95,0.15,0.45,0.01,78,2005
Porcelain,Moby,94,0.55,0.25,0.55,0.15,75,2000
At The River,Groove Armada,68,0.45,0.35,0.45,0.25,68,1997
Children,Robert Miles,138,0.65,0.12,0.52,0.45,78,1995
Music Sounds Better With You,Stardust,124,0.82,0.78,0.75,0.05,82,1998
One More Time,Daft Punk,123,0.88,0.85,0.72,0.05,85,2000
Lady (Hear Me Tonight),Modjo,126,0.72,0.91,0.78,0.12,80,2000
Groovejet,Spiller,123,0.92,0.85,0.78,0.05,72,2000
Call On Me,Eric Prydz,126,0.89,0.8,0.75,0.02,76,2004
Lola's Theme,The Shapeshifters,124,0.9,0.82,0.76,0.04,74,2004
Cola,CamelPhat,122,0.88,0.62,0.81,0.02,85,2017
Losing It,FISHER,125,0.95,0.65,0.75,0.01,88,2018
Glue,Bicep,130,0.82,0.45,0.65,0.15,78,2017
Panic Room,CamelPhat,123,0.78,0.4,0.72,0.05,76,2018
Gecko (Overdrive),Oliver Heldens,125,0.92,0.68,0.78,0.02,75,2014
Intoxicated,Martin Solveig,125,0.95,0.85,0.75,0.05,78,2015
Levels,Avicii,126,0.92,0.78,0.75,0.05,88,2011
Don't You Worry Child,Swedish House Mafia,128,0.88,0.62,0.65,0.08,86,2012
Titanium,David Guetta,126,0.9,0.65,0.68,0.05,85,2011
Summer,Calvin Harris,128,0.92,0.75,0.72,0.02,88,2014
I Remember,Deadmau5,128,0.88,0.45,0.72,0.05,74,2008
Sonnentanz,Klangkarussell,120,0.78,0.65,0.78,0.1,75,2012
Jubel,Klingande,125,0.82,0.75,0.78,0.05,78,2013
Changes,Faul & Wad Ad,124,0.85,0.78,0.75,0.05,76,2013
Man With The Red Face,Laurent Garnier,126,0.82,0.55,0.71,0.15,65,2000
Ibiza Session Track 0,David Guetta,123,0.91,0.14,0.65,0.02,70,2012
Ibiza Session Track 1,David Guetta,123,0.79,0.72,0.71,0.05,64,1997
Ibiza Session Track 2,Fisher,124,0.87,0.58,0.75,0.02,60,2000
Ibiza Session Track 3,Carl Cox,127,0.88,0.69,0.69,0.04,62,1997
Ibiza Session Track 4,David Guetta,94,0.39,0.35,0.53,0.57,67,2017
Ibiza Session Track 5,Calvin Harris,130,0.91,0.67,0.64,0.03,51,1998
Ibiza Session Track 6,Hot Since 82,131,0.91,0.42,0.63,0.02,46,2004
