Unnamed: 0,track_id,Artist,Album,Track,Popularity,duration_ms,explicit,Danceability,Energy,key,Loudness,mode,speechiness,Acousticness,instrumentalness,liveness,Valence,BPM,time_signature,Genre,Year
17000,2vXKRlJBXyOcvZYTdNeckS,Gesaffelstein;The Weeknd,Hyperion,Lost in the Fire (feat. The Weeknd),85,202093,True,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,4,club,2024
17001,095nyFKlTwa9JIp9cVrHOF,Gesaffelstein;Pharrell Williams,Blast Off (feat. Pharrell Williams),Blast Off (feat. Pharrell Williams),49,215973,False,0.627,0.505,6,-12.659,1,0.0549,0.197,0.0149,0.0583,0.146,100.005,4,club,2024
17002,6HJiKaPc4LYPczBFGSMBFs,Jay Dunham,I Got Summer On My Mind,I Got Summer On My Mind,65,188160,False,0.807,0.835,9,-6.849,0,0.0631,0.00148,0.527,0.233,0.349,124.979,4,club,2024
17003,12Ypr3PCVJ2i7Uwz93q1Vl,Gesaffelstein,Conspiracy Pt.2,Opr,59,233965,False,0.748,0.549,6,-5.447,0,0.065,0.00268,0.792,0.196,0.197,101.033,4,club,2024
17004,2zwcnaxahJOnYwG0H6tXTz,Le Castle Vania,John Wick: Chapter 2 (Original Motion Picture Soundtrack),John Wick Mode,55,187173,False,0.683,0.869,0,-4.828,1,0.0515,0.00088,0.836,0.206,0.219,123.983,4,club,2024
17005,4CHDcWhqTsz53Ur9zmvHs8,Saint Punk,Empty Bed,Empty Bed,58,214634,False,0.714,0.69,8,-5.356,1,0.0875,0.0137,1.17e-05,0.13,0.631,123.037,4,club,2024
17006,4RBQt9IvE0Qmzdt6XlzNpd,ZABO,Drown,Drown,49,185142,False,0.774,0.87,6,-5.954,0,0.0646,0.0318,0.907,0.107,0.0461,105.01,4,club,2024
17007,1ME8Thb5mDmBYTI3I5f3uJ,ZABO,Breathe,Breathe,55,199200,False,0.561,0.547,5,-5.345,0,0.0825,0.0622,0.874,0.149,0.202,99.982,4,club,2024
17008,2KLA6CccrZHaqmEIVJNcsN,Limbo Slice,Lethargy,Lethargy,48,203773,False,0.665,0.984,0,-5.202,1,0.115,0.00758,0.776,0.326,0.0392,106.013,4,club,2024
17009,2jcMktZrayNaiWRnRmItnY,KLOUD;Fytch,AUTONOMY (REMIXES),VIRUS (Fytch Remix),52,170500,False,0.432,0.624,10,-6.731,0,0.093,0.0509,0.0192,0.181,0.262,123.074,5,club,2024
17010,3RxNoBUmsatoQ86dAhV92v,Le Castle Vania,"""LED Spirals"" (Extended Version) [From ""John Wick""]",LED Spirals - Extended Version,52,195950,False,0.931,0.584,1,-6.013,1,0.0777,0.0116,0.43,0.0899,0.307,119.992,4,club,2024
17011,5hxMK9b3lDs5Ah9SU0k0fC,Le Castle Vania,John Wick (Original Motion Picture Soundtrack),Shots Fired,45,191397,False,0.693,0.792,10,-5.729,1,0.0321,1.74e-05,0.787,0.113,0.553,120.013,4,club,2024
17012,4c6Tv9hOtTqWv13OzRDMPi,Max Brhon,Humanity,Humanity,51,197960,False,0.669,0.864,0,-3.611,1,0.0536,0.0742,0.667,0.0803,0.307,110.042,3,club,2024
